id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
603465146,WWP.2am-2023-04-08_13-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,14,20,Agelaius tricolor,Alternative Song 2,35.84,36.245333333333335,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147234989,0.2789595883111876,48469
603465147,WWP.2am-2023-04-08_13-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,14,0,Agelaius tricolor,Alternative Song 2,35.10933333333333,35.51466666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147234990,0.223336218474145,48469
603465148,WWP.2am-2023-04-08_12-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,13,40,Agelaius tricolor,Alternative Song 2,20.69333333333333,21.098666666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147234992,0.256831273287442,48469
603465149,WWP.2am-2023-04-08_12-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,13,20,Agelaius tricolor,Alternative Song 2,31.802666666666667,32.208,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147234993,0.22759505850455422,48469
603465150,WWP.2am-2023-04-08_11-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,12,40,Agelaius tricolor,Alternative Song 2,5.856,6.261333333333333,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147234995,0.20799257671079538,48469
603465151,WWP.2am-2023-04-08_11-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,12,20,Agelaius tricolor,Alternative Song 2,16.69333333333333,17.098666666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147234996,0.23205305288334685,48469
603465152,WWP.2am-2023-04-08_11-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,12,0,Agelaius tricolor,Alternative Song 2,39.62133333333333,40.026666666666664,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147234997,0.22880468875533605,48469
603465153,WWP.2am-2023-04-08_10-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,11,0,Agelaius tricolor,Alternative Song 2,19.84,20.245333333333335,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235002,0.2025945019702923,48469
603465154,WWP.2am-2023-04-08_08-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,9,40,Agelaius tricolor,Alternative Song 2,54.192,54.59733333333333,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235005,0.22340858633342814,48469
603465155,WWP.2am-2023-04-08_08-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,9,20,Agelaius tricolor,Alternative Song 2,56.29866666666667,56.704,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235006,0.2159521658599656,48469
603465156,WWP.2am-2023-04-08_06-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,7,40,Agelaius tricolor,Alternative Song 2,44.82666666666667,45.232,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235011,0.26519235520728884,48469
603465157,WWP.2am-2023-04-08_06-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,7,0,Agelaius tricolor,Alternative Song 2,47.973333333333336,48.37866666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235013,0.22872205581986055,48469
603465158,WWP.2am-2023-04-08_05-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,8,6,40,Agelaius tricolor,Alternative Song 2,13.370666666666667,13.776,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235014,0.2579004387953021,48469
603465159,WWP.2am-2023-04-07_19-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,20,20,Agelaius tricolor,Alternative Song 2,35.44533333333333,35.85066666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235044,0.2545707121103852,48469
603465160,WWP.2am-2023-04-07_19-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,20,0,Agelaius tricolor,Alternative Song 2,57.89333333333333,58.29866666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235046,0.2774720332514476,48469
603465161,WWP.2am-2023-04-07_18-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,19,20,Agelaius tricolor,Alternative Song 2,34.821333333333335,35.22666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235048,0.22776242304666375,48469
603465162,WWP.2am-2023-04-07_17-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,18,0,Agelaius tricolor,Alternative Song 2,38.78933333333333,39.19466666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235052,0.2157000098268636,48469
603465163,WWP.2am-2023-04-07_16-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,17,40,Agelaius tricolor,Alternative Song 2,35.141333333333336,35.54666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235053,0.22026393475869152,48469
603465164,WWP.2am-2023-04-07_16-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,17,0,Agelaius tricolor,Alternative Song 2,17.173333333333332,17.578666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235055,0.2247942129076167,48469
603465165,WWP.2am-2023-04-07_15-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,16,40,Agelaius tricolor,Alternative Song 2,53.232,53.63733333333333,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235057,0.28750706775683166,48469
603465166,WWP.2am-2023-04-07_15-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,16,20,Agelaius tricolor,Alternative Song 2,13.232,13.637333333333334,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235058,0.292397917713618,48469
603465167,WWP.2am-2023-04-07_15-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,16,0,Agelaius tricolor,Alternative Song 2,55.242666666666665,55.648,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235060,0.22241525879372198,48469
603465168,WWP.2am-2023-04-07_14-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,15,20,Agelaius tricolor,Alternative Song 2,59.013333333333335,59.41866666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235061,0.2646181922540506,48469
603465169,WWP.2am-2023-04-07_14-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,15,0,Agelaius tricolor,Alternative Song 2,10.592,10.997333333333334,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235062,0.22726718876008803,48469
603465170,WWP.2am-2023-04-07_13-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,14,40,Agelaius tricolor,Alternative Song 2,52.474666666666664,52.88,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235063,0.27215134790244294,48469
603465171,WWP.2am-2023-04-07_13-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,14,20,Agelaius tricolor,Alternative Song 2,40.410666666666664,40.816,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235064,0.2037798793394061,48469
603465172,WWP.2am-2023-04-07_12-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,13,40,Agelaius tricolor,Alternative Song 2,1.888,2.2933333333333334,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235066,0.27381020429005754,48469
603465173,WWP.2am-2023-04-07_12-00.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,13,0,Agelaius tricolor,Alternative Song 2,29.658666666666665,30.064,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235068,0.27562517522787217,48469
603465174,WWP.2am-2023-04-07_11-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,12,20,Agelaius tricolor,Alternative Song 2,39.397333333333336,39.80266666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235070,0.2844571241712315,48469
603465175,WWP.2am-2023-04-07_10-40.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,11,40,Agelaius tricolor,Alternative Song 2,3.002666666666667,3.408,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235072,0.25947713504638603,48469
603465176,WWP.2am-2023-04-07_10-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,7,11,20,Agelaius tricolor,Alternative Song 2,22.426666666666666,22.832,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235074,0.2002520357549004,48469
603465177,WWP.2am-2023-03-07_17-40.WAV,2023 Wind Wolves Preserve Site 2,2023,3,7,17,40,Agelaius tricolor,Alternative Song 2,38.245333333333335,38.650666666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235075,0.24375307155790588,48469
603465178,WWP.2am-2023-05-22_05-20.WAV,2023 Wind Wolves Preserve Site 2,2023,5,22,6,20,Agelaius tricolor,Alternative Song 2,12.928,13.333333333333334,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147235294,0.23461089492389833,48469
603465179,WWP.2am-2023-05-07_06-40.WAV,2023 Wind Wolves Preserve Site 2,2023,5,7,7,40,Agelaius tricolor,Alternative Song 2,21.690666666666665,22.096,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147237444,0.20793371268280889,48469
603465180,WWP.2am-2023-04-15_11-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,15,12,20,Agelaius tricolor,Alternative Song 2,21.717333333333332,22.122666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147241891,0.28098467163042384,48469
603465181,WWP.2am-2023-04-15_12-20.WAV,2023 Wind Wolves Preserve Site 2,2023,4,15,13,20,Agelaius tricolor,Alternative Song 2,50.53333333333333,50.93866666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147241892,0.2814147730369574,48469
603465182,WWP.2am-2023-07-23_11-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,23,12,0,Agelaius tricolor,Alternative Song 2,55.33866666666667,55.744,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147278378,0.2578025993969713,48469
603465183,WWP.2am-2023-06-19_12-20.WAV,2023 Wind Wolves Preserve Site 2,2023,6,19,13,20,Agelaius tricolor,Alternative Song 2,11.621333333333334,12.026666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147278542,0.26461915973639594,48469
603465184,WWP.2am-2023-06-18_13-00.WAV,2023 Wind Wolves Preserve Site 2,2023,6,18,14,0,Agelaius tricolor,Alternative Song 2,55.68,56.08533333333333,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147278547,0.244500330932394,48469
603465185,WWP.2am-2023-06-04_15-00.WAV,2023 Wind Wolves Preserve Site 2,2023,6,4,16,0,Agelaius tricolor,Alternative Song 2,19.989333333333335,20.394666666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147278573,0.31368490280198585,48469
603465186,WWP.2am-2023-05-27_09-00.WAV,2023 Wind Wolves Preserve Site 2,2023,5,27,10,0,Agelaius tricolor,Alternative Song 2,50.31466666666667,50.72,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147278576,0.24036875972710642,48469
603465187,WWP.2am-2023-05-08_07-40.WAV,2023 Wind Wolves Preserve Site 2,2023,5,8,8,40,Agelaius tricolor,Alternative Song 2,59.04533333333333,59.45066666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147278583,0.21352468202249447,48469
603465188,WWP.2am-2023-05-28_15-20.WAV,2023 Wind Wolves Preserve Site 2,2023,5,28,16,20,Agelaius tricolor,Alternative Song 2,11.317333333333334,11.722666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147278611,0.22458838864938777,48469
603465189,WWP.2am-2023-06-17_20-20.WAV,2023 Wind Wolves Preserve Site 2,2023,6,17,21,20,Agelaius tricolor,Alternative Song 2,40.64533333333333,41.050666666666665,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147278617,0.26152966526194527,48469
603465255,WWP.2am-2023-07-18_12-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,18,13,40,Agelaius tricolor,Alternative Song 2,12.346666666666666,12.752,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147218824,0.23279787116124084,48469
603465256,WWP.2am-2023-07-18_10-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,18,11,0,Agelaius tricolor,Alternative Song 2,50.384,50.78933333333333,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147218847,0.208347779767937,48469
603465257,WWP.2am-2023-07-18_09-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,18,10,20,Agelaius tricolor,Alternative Song 2,17.733333333333334,18.138666666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147218876,0.23276600231822417,48469
603465258,WWP.2am-2023-07-18_10-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,18,11,20,Agelaius tricolor,Alternative Song 2,51.141333333333336,51.54666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147218920,0.25814811324203074,48469
603465259,WWP.2am-2023-07-18_06-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,18,7,0,Agelaius tricolor,Alternative Song 2,47.29066666666667,47.696,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147218921,0.2138538957958738,48469
603465260,WWP.2am-2023-07-18_08-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,18,9,0,Agelaius tricolor,Alternative Song 2,23.946666666666665,24.352,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147218934,0.2081900668319177,48469
603465261,WWP.2am-2023-07-18_08-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,18,9,40,Agelaius tricolor,Alternative Song 2,46.48,46.885333333333335,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147218944,0.26399044317542397,48469
603465262,WWP.2am-2023-07-17_12-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,13,40,Agelaius tricolor,Alternative Song 2,9.546666666666667,9.952,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219140,0.22170962094864877,48469
603465263,WWP.2am-2023-07-17_20-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,21,0,Agelaius tricolor,Alternative Song 2,8.874666666666666,9.28,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219159,0.3020563944359283,48469
603465264,WWP.2am-2023-07-17_11-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,12,0,Agelaius tricolor,Alternative Song 2,27.077333333333332,27.482666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219177,0.3090834307189893,48469
603465265,WWP.2am-2023-07-17_16-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,17,40,Agelaius tricolor,Alternative Song 2,45.86666666666667,46.272,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219213,0.21578361008071809,48469
603465266,WWP.2am-2023-07-17_17-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,18,40,Agelaius tricolor,Alternative Song 2,20.149333333333335,20.554666666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219228,0.23942454010092068,48469
603465267,WWP.2am-2023-07-17_15-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,16,40,Agelaius tricolor,Alternative Song 2,39.36533333333333,39.77066666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219237,0.2599123157830112,48469
603465268,WWP.2am-2023-07-17_11-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,12,40,Agelaius tricolor,Alternative Song 2,32.858666666666664,33.264,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219245,0.24876814313167286,48469
603465269,WWP.2am-2023-07-17_10-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,11,20,Agelaius tricolor,Alternative Song 2,0.7573333333333333,1.1626666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219268,0.2109870325933842,48469
603465270,WWP.2am-2023-07-17_08-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,9,40,Agelaius tricolor,Alternative Song 2,23.205333333333332,23.610666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219330,0.21133440512163149,48469
603465271,WWP.2am-2023-07-17_07-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,8,0,Agelaius tricolor,Alternative Song 2,41.008,41.413333333333334,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219353,0.20067078822458387,48469
603465272,WWP.2am-2023-07-17_06-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,17,7,20,Agelaius tricolor,Alternative Song 2,55.00266666666667,55.408,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219428,0.20024807225622626,48469
603465273,WWP.2am-2023-07-16_20-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,21,20,Agelaius tricolor,Alternative Song 2,8.624,9.029333333333334,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219509,0.22673140647699602,48469
603465274,WWP.2am-2023-07-16_20-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,21,0,Agelaius tricolor,Alternative Song 2,26.16,26.565333333333335,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219574,0.2607762477886696,48469
603465275,WWP.2am-2023-07-16_15-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,16,20,Agelaius tricolor,Alternative Song 2,17.11466666666667,17.52,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219607,0.20465235232535936,48469
603465276,WWP.2am-2023-07-16_20-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,21,40,Agelaius tricolor,Alternative Song 2,45.35466666666667,45.76,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219653,0.2251908707394282,48469
603465277,WWP.2am-2023-07-16_19-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,20,0,Agelaius tricolor,Alternative Song 2,23.477333333333334,23.882666666666665,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219658,0.21072266027070974,48469
603465278,WWP.2am-2023-07-16_11-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,12,20,Agelaius tricolor,Alternative Song 2,58.74133333333333,59.14666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219671,0.22009972658049584,48469
603465279,WWP.2am-2023-07-16_09-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,10,20,Agelaius tricolor,Alternative Song 2,10.586666666666666,10.992,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219681,0.3533830128223898,48469
603465280,WWP.2am-2023-07-16_08-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,9,0,Agelaius tricolor,Alternative Song 2,34.224,34.629333333333335,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219689,0.23239467575005726,48469
603465281,WWP.2am-2023-07-16_06-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,7,0,Agelaius tricolor,Alternative Song 2,2.5866666666666664,2.992,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219693,0.20418754136993225,48469
603465282,WWP.2am-2023-07-16_07-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,16,8,20,Agelaius tricolor,Alternative Song 2,17.002666666666666,17.408,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219734,0.3524300624671326,48469
603465283,WWP.2am-2023-07-15_19-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,20,20,Agelaius tricolor,Alternative Song 2,29.002666666666666,29.408,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219901,0.28028691708245934,48469
603465284,WWP.2am-2023-07-15_20-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,21,40,Agelaius tricolor,Alternative Song 2,4.512,4.917333333333334,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219904,0.33002209134336796,48469
603465285,WWP.2am-2023-07-15_17-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,18,20,Agelaius tricolor,Alternative Song 2,6.677333333333333,7.082666666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219953,0.2770347529999148,48469
603465286,WWP.2am-2023-07-15_20-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,21,20,Agelaius tricolor,Alternative Song 2,49.29066666666667,49.696,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219969,0.21914194409998716,48469
603465287,WWP.2am-2023-07-15_20-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,21,0,Agelaius tricolor,Alternative Song 2,20.4,20.805333333333333,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147219995,0.23060310994008218,48469
603465288,WWP.2am-2023-07-15_12-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,13,40,Agelaius tricolor,Alternative Song 2,14.858666666666666,15.264,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147220017,0.3188594652418822,48469
603465289,WWP.2am-2023-07-15_13-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,14,40,Agelaius tricolor,Alternative Song 2,36.58133333333333,36.986666666666665,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147220041,0.234186264360609,48469
603465290,WWP.2am-2023-07-15_12-20.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,13,20,Agelaius tricolor,Alternative Song 2,2.7893333333333334,3.1946666666666665,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147220051,0.28758788161423043,48469
603465291,WWP.2am-2023-07-15_10-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,11,40,Agelaius tricolor,Alternative Song 2,45.27466666666667,45.68,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147220062,0.21217766234794294,48469
603465292,WWP.2am-2023-07-15_11-40.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,12,40,Agelaius tricolor,Alternative Song 2,48.629333333333335,49.034666666666666,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147220070,0.2191434924333074,48469
603465293,WWP.2am-2023-07-15_11-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,12,0,Agelaius tricolor,Alternative Song 2,7.637333333333333,8.042666666666667,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147220079,0.20993032793258148,48469
603465294,WWP.2am-2023-07-15_10-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,11,0,Agelaius tricolor,Alternative Song 2,34.87466666666667,35.28,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147220089,0.20823274807887357,48469
603465295,WWP.2am-2023-07-15_13-00.WAV,2023 Wind Wolves Preserve Site 2,2023,7,15,14,0,Agelaius tricolor,Alternative Song 2,50.77333333333333,51.178666666666665,656.25,7406.25,24000,(not validated),https://arbimon.org/legacy-api/project/tricolored-blackbird-breeding-phenology/recordings/download/147220102,0.3018038678718611,48469
